Cristiano Ronaldo,99,LW,toty,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/38.png,https://futhead.cursecdn.com/static/img/18/players_alt/p67129665.png
Lionel Messi,98,RW,toty,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/52.png,https://futhead.cursecdn.com/static/img/18/players_alt/p117598535.png
Pelé,98,CAM,icon,https://futhead.cursecdn.com/static/img/18/clubs/112658.png,https://futhead.cursecdn.com/static/img/18/nations/54.png,https://futhead.cursecdn.com/static/img/18/players/237067.png
Sergio Ramos,97,CB,toty,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/45.png,https://futhead.cursecdn.com/static/img/18/players_alt/p50487510.png
Diego Maradona,97,CAM,icon,https://futhead.cursecdn.com/static/img/18/clubs/112658.png,https://futhead.cursecdn.com/static/img/18/nations/52.png,https://futhead.cursecdn.com/static/img/18/players/190042.png
Lionel Messi,96,ST,eumotm,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/52.png,https://futhead.cursecdn.com/static/img/18/players/158023.png
Cristiano Ronaldo,96,ST,if,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/38.png,https://futhead.cursecdn.com/static/img/18/players_alt/p83906881.png
Leonardo Bonucci,96,CB,toty,https://futhead.cursecdn.com/static/img/18/clubs/47.png,https://futhead.cursecdn.com/static/img/18/nations/27.png,https://futhead.cursecdn.com/static/img/18/players_alt/p67293208.png
Luka Modrić,96,CM,toty,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/10.png,https://futhead.cursecdn.com/static/img/18/players_alt/p50508651.png
Kevin De Bruyne,96,CM,toty,https://futhead.cursecdn.com/static/img/18/clubs/10.png,https://futhead.cursecdn.com/static/img/18/nations/7.png,https://futhead.cursecdn.com/static/img/18/players_alt/p100856281.png
Harry Kane,96,ST,toty,https://futhead.cursecdn.com/static/img/18/clubs/18.png,https://futhead.cursecdn.com/static/img/18/nations/14.png,https://futhead.cursecdn.com/static/img/18/players_alt/p184751502.png
Ronaldo,96,ST,icon,https://futhead.cursecdn.com/static/img/18/clubs/112658.png,https://futhead.cursecdn.com/static/img/18/nations/54.png,https://futhead.cursecdn.com/static/img/18/players/37576.png
Cristiano Ronaldo,95,RW,fut-birthday,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/38.png,https://futhead.cursecdn.com/static/img/18/players_alt/p117461313.png
Luis Suárez,95,ST,if,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/60.png,https://futhead.cursecdn.com/static/img/18/players_alt/p117617092.png
Neymar,95,LW,if,https://futhead.cursecdn.com/static/img/18/clubs/73.png,https://futhead.cursecdn.com/static/img/18/nations/54.png,https://futhead.cursecdn.com/static/img/18/players_alt/p117631383.png
N'Golo Kanté,95,CM,toty,https://futhead.cursecdn.com/static/img/18/clubs/5.png,https://futhead.cursecdn.com/static/img/18/nations/18.png,https://futhead.cursecdn.com/static/img/18/players_alt/p50547562.png
Lionel Messi,95,ST,if,https://futhead.cursecdn.com/static/img/18/clubs/241.png,https://futhead.cursecdn.com/static/img/18/nations/52.png,https://futhead.cursecdn.com/static/img/18/players/158023.png
Cristiano Ronaldo,95,ST,totgs,https://futhead.cursecdn.com/static/img/18/clubs/243.png,https://futhead.cursecdn.com/static/img/18/nations/38.png,https://futhead.cursecdn.com/static/img/18/players_alt/p50352449.png
